Producers,Consumers,Products,Queue Size,Algorithm,Quantum,Seed,Total Processing Time,Min Turnaround,Max Turnaround,Avg Turnaround,Min Wait,Max Wait,Avg Wait,Producer throughput,Consumer Throughput
4,4,100,10,0,250,0,2.5246,0.000313887,0.0205328,0.00787808,0.000101778,0.019401,0.00724375,2397.04,2385.18
4,4,100,10,0,250,0,2.52371,0.00318794,0.0200838,0.00802133,0.000145549,0.018981,0.00738974,2397.1,2385.26
4,4,100,10,0,250,0,2.52444,0.000289399,0.020468,0.00788465,0.000087268,0.0193471,0.00724957,2397.07,2385.17
4,25,100,10,0,250,0,2.50626,0.000096904,0.00125887,0.000561347,0.00002406,0.000468425,5.38638E-05,2395.6,2494.41
4,25,100,10,0,250,0,2.50627,0.000083668,0.0012524,0.000544436,0.000027891,0.000323157,5.32879E-05,2395.42,2494.45
4,25,100,10,0,250,0,2.50638,0.000110978,0.00126843,0.000528742,0.000026678,0.000532275,5.77597E-05,2395.56,2395.95
25,4,100,10,0,250,0,2.51916,0.00165821,0.302811,0.234007,0.00143629,0.301969,0.23354,2708.36,2386.04
25,4,100,10,0,250,0,2.51913,0.00161806,0.302825,0.234051,0.00139061,0.30181,0.233568,2708.03,2385.28
25,4,100,10,0,250,0,2.51929,0.00155051,0.302313,0.233929,0.0013466,0.30151,0.233482,2709.44,2386.82
25,25,5000,500,0,250,0,20.1411,0.00241627,0.105511,0.0512664,0.00160629,0.104752,0.0507669,14974.9,14914.2
25,25,5000,500,0,250,0,20.1391,0.00222905,0.103323,0.0505762,0.00166333,0.102607,0.0500819,14976,14915.3
25,25,5000,500,0,250,0,20.141,0.00218843,0.105685,0.0518157,0.00144581,0.104963,0.0513126,14975.4,14913.8
25,10,1000,0,0,250,0,10.0674,0.00210081,6.05799,3.02841,0.00184219,6.05788,3.02793,14974.5,5967.68
25,10,1000,0,0,250,0,10.0684,0.00185801,6.05881,3.02937,0.00135403,6.05867,3.02888,14974.1,5966.66
25,10,1000,0,0,250,0,10.0709,0.00209869,6.06128,3.02968,0.001899,6.06115,3.0292,14974.3,5967.28
,,,,,,,,,,,,,,,
4,4,100,10,1,25,0,46.7779,0.297116,10.7184,4.62258,0.000561282,0.300404,0.244217,138.668,128.227
4,4,100,10,1,25,0,46.7777,0.299528,10.9171,4.70761,0.000476904,0.300535,0.244522,138.339,128.276
4,4,100,10,1,25,0,46.7766,0.200721,10.7172,4.65551,0.000013151,0.300444,0.246369,139.633,128.276
4,4,100,10,1,333,0,4.71724,0.000500459,1.10542,0.425774,0.000013061,0.300954,0.227638,1422.98,1299.6
4,4,100,10,1,333,0,4.71875,0.000419688,1.10499,0.452074,0.00008235,0.301294,0.242838,1457.51,1299.24
4,4,100,10,1,333,0,4.71779,0.000400136,1.10538,0.436827,0.000064699,0.301069,0.232703,1457.57,1299.43
4,4,100,10,1,1000,0,2.61458,0.000340675,0.109821,0.0259855,0.0000747,0.109096,0.0255366,2395.66,2386.99
4,4,100,10,1,1000,0,2.61524,0.000511535,0.110399,0.0265543,0.000087593,0.109708,0.0260751,2395.61,2386.06
4,4,100,10,1,1000,0,2.61549,0.000500612,0.110751,0.0266069,0.000078612,0.110029,0.0261373,2395.79,2294.81
4,25,100,10,1,333,0,2.50613,0.000117444,0.00212024,0.000783892,0.00000766,0.000117791,3.24443E-05,2396.81,2494.77
4,25,100,10,1,333,0,2.50623,0.000105203,0.00233133,0.000781252,0.000007592,0.000259866,3.53401E-05,2396.81,2495.11
4,25,100,10,1,333,0,2.50622,0.000103605,0.00228455,0.000787525,0.0000085,0.000214395,0.000035794,2396.87,2494.83
25,4,100,10,1,333,0,4.72533,0.00201312,1.20648,0.480738,0.000658906,0.301552,0.252101,1420.51,1297.92
25,4,100,10,1,333,0,4.72564,0.002213,1.10611,0.475518,0.00155146,0.301566,0.250027,1420.39,11297.82
25,4,100,10,1,333,0,4.72475,0.00209863,1.00648,0.457619,0.000576787,0.301469,0.242079,1420.52,1297.87
25,25,5000,500,1,333,0,41.0922,0.00321546,8.13338,3.78385,0.00212581,2.10638,1.85768,7982.14,7318.74
25,25,5000,500,1,333,0,41.0906,0.00312546,8.13009,3.78182,0.00181357,2.10569,1.85668,7983.93,7318.99
25,25,5000,500,1,333,0,41.0911,0.00358279,8.13176,3.78289,0.00267678,2.10631,1.8577,7982.08,7318.69
25,10,1000,0,1,333,0,20.5926,0.00310073,19.0865,10.1708,0.0026931,8.55165,5.02694,14982.8,2928
25,10,1000,0,1,333,0,20.5931,0.00303882,19.0862,10.1708,0.00206525,8.55148,5.02691,14982.8,2928.06
25,10,1000,0,1,333,0,20.5924,0.00323753,19.0868,10.1706,0.00260661,8.55167,5.02656,14982.3,2927.97
